step,K,U,E
468,11.9561483685,-12.9267590362,-0.9706106677
469,11.9738135647,-12.9444250150,-0.9706114503
470,11.9911201304,-12.9617323756,-0.9706122452
471,12.0080588304,-12.9786718823,-0.9706130519
472,12.0246203473,-12.9952342170,-0.9706138697
473,12.0407952915,-13.0114099895,-0.9706146980
474,12.0565742143,-13.0271897446,-0.9706155304
475,12.0719476203,-13.0425639973,-0.9706163771
476,12.0869059823,-13.0575232139,-0.9706172316
477,12.1014397564,-13.0720578495,-0.9706180931
478,12.1155393985,-13.0861583587,-0.9706189603
479,12.1291953818,-13.0998152139,-0.9706198321
480,12.1423982160,-13.1130189233,-0.9706207073
481,12.1551384665,-13.1257600510,-0.9706215845
482,12.1674067759,-13.1380292384,-0.9706224625
483,12.1791938859,-13.1498172255,-0.9706233396
484,12.1904906603,-13.1611148747,-0.9706242144
485,12.2012881095,-13.1719131947,-0.9706250852
486,12.2115774157,-13.1822033660,-0.9706259503
487,12.2213499590,-13.1919767670,-0.9706268081
488,12.2305973446,-13.2012250012,-0.9706276566
489,12.2393114314,-13.2099399253,-0.9706284939
490,12.2474843601,-13.2181136783,-0.9706293182
491,12.2551085837,-13.2257387111,-0.9706301274
492,12.2621768974,-13.2328078169,-0.9706309195
493,12.2686824697,-13.2393141621,-0.9706316924
494,12.2746188741,-13.2452513180,-0.9706324440
495,12.2799801206,-13.2506132927,-0.9706331721
496,12.2847606884,-13.2553945630,-0.9706338746
497,12.2889555575,-13.2595901068,-0.9706345492
498,12.2925602418,-13.2631954358,-0.9706351940
499,12.2955708206,-13.2662066272,-0.9706358065
500,12.2979839712,-13.2686203560,-0.9706363848
501,12.2997969998,-13.2704339265,-0.9706369268
502,12.3010078728,-13.2716453030,-0.9706374302
503,12.3016152468,-13.2722531400,-0.9706378932
504,12.3016184979,-13.2722568117,-0.9706383138
505,12.3010177495,-13.2716564395,-0.9706386901
506,12.2998138992,-13.2704529195,-0.9706390203
507,12.2980086444,-13.2686479471,-0.9706393028
508,12.2956045051,-13.2662440410,-0.9706395359
509,12.2926048464,-13.2632445648,-0.9706397183
510,12.2890138979,-13.2596537466,-0.9706398487
511,12.2848367710,-13.2554766968,-0.9706399259
512,12.2800794742,-13.2507194230,-0.9706399489
513,12.2747489257,-13.2453888426,-0.9706399169
514,12.2688529634,-13.2394927926,-0.9706398292
515,12.2624003516,-13.2330400371,-0.9706396855
516,12.2554007857,-13.2260402711,-0.9706394854
517,12.2478648929,-13.2185041218,-0.9706392289
518,12.2398042306,-13.2104431467,-0.9706389161
519,12.2312312813,-13.2018698287,-0.9706385474
520,12.2221594439,-13.1927975673,-0.9706381233
521,12.2126030229,-13.1832406676,-0.9706376447
522,12.2025772130,-13.1732143253,-0.9706371123
523,12.1920980817,-13.1627346092,-0.9706365275
524,12.1811825481,-13.1518184396,-0.9706358916
525,12.1698483590,-13.1404835651,-0.9706352061
526,12.1581140620,-13.1287485347,-0.9706344727
527,12.1459989757,-13.1166326691,-0.9706336934
528,12.1335231573,-13.1041560275,-0.9706328702
529,12.1207073679,-13.0913393732,-0.9706320053
530,12.1075730351,-13.0782041362,-0.9706311011
531,12.0941422143,-13.0647723742,-0.9706301599
532,12.0804375471,-13.0510667315,-0.9706291845
533,12.0664822188,-13.0371103961,-0.9706281773
534,12.0522999143,-13.0229270555,-0.9706271411
535,12.0379147729,-13.0085408517,-0.9706260788
536,12.0233513414,-12.9939763345,-0.9706249931
537,12.0086345280,-12.9792584148,-0.9706238868
538,11.9937895539,-12.9644123169,-0.9706227629
539,11.9788419062,-12.9494635304,-0.9706216242
540,11.9638172889,-12.9344377626,-0.9706204736
541,11.9487415761,-12.9193608900,-0.9706193140
542,11.9336407628,-12.9042589109,-0.9706181481
543,11.9185409186,-12.8891578974,-0.9706169788
544,11.9034681392,-12.8740839481,-0.9706158089
545,11.8884485005,-12.8590631415,-0.9706146411
546,11.8735080113,-12.8441214893,-0.9706134781
547,11.8586725678,-12.8292848904,-0.9706123227
548,11.8439679076,-12.8145790850,-0.9706111775
549,11.8294195643,-12.8000296095,-0.9706100452
550,11.8150528225,-12.7856617509,-0.9706089284
551,11.8008926724,-12.7715005023,-0.9706078299
552,11.7869637650,-12.7575705173,-0.9706067522
553,11.7732903670,-12.7438960652,-0.9706056982
554,11.7598963149,-12.7305009855,-0.9706046705
555,11.7468049699,-12.7174086418,-0.9706036720
556,11.7340391708,-12.7046418762,-0.9706027053
