step,K,U,E
464,0.0846211075,-0.1594820443,-0.0748609368
465,0.0852836313,-0.1601445435,-0.0748609122
466,0.0859671629,-0.1608280494,-0.0748608864
467,0.0866720686,-0.1615329280,-0.0748608594
468,0.0873987323,-0.1622595634,-0.0748608311
469,0.0881475563,-0.1630083577,-0.0748608014
470,0.0889189620,-0.1637797324,-0.0748607704
471,0.0897133906,-0.1645741285,-0.0748607380
472,0.0905313034,-0.1653920075,-0.0748607040
473,0.0913731836,-0.1662338522,-0.0748606686
474,0.0922395359,-0.1671001674,-0.0748606315
475,0.0931308885,-0.1679914813,-0.0748605927
476,0.0940477933,-0.1689083456,-0.0748605522
477,0.0949908273,-0.1698513372,-0.0748605099
478,0.0959605935,-0.1708210592,-0.0748604657
479,0.0969577220,-0.1718181416,-0.0748604195
480,0.0979828715,-0.1728432428,-0.0748603713
481,0.0990367303,-0.1738970511,-0.0748603208
482,0.1001200175,-0.1749802856,-0.0748602681
483,0.1012334849,-0.1760936979,-0.0748602130
484,0.1023779182,-0.1772380737,-0.0748601554
485,0.1035541388,-0.1784142341,-0.0748600952
486,0.1047630055,-0.1796230378,-0.0748600323
487,0.1060054159,-0.1808653824,-0.0748599665
488,0.1072823093,-0.1821422070,-0.0748598977
489,0.1085946679,-0.1834544935,-0.0748598256
490,0.1099435192,-0.1848032695,-0.0748597503
491,0.1113299390,-0.1861896103,-0.0748596714
492,0.1127550529,-0.1876146416,-0.0748595888
493,0.1142200398,-0.1890795420,-0.0748595022
494,0.1157261345,-0.1905855461,-0.0748594116
495,0.1172746305,-0.1921339471,-0.0748593166
496,0.1188668838,-0.1937261007,-0.0748592169
497,0.1205043158,-0.1953634282,-0.0748591125
498,0.1221884175,-0.1970474203,-0.0748590028
499,0.1239207534,-0.1987796411,-0.0748588877
500,0.1257029654,-0.2005617323,-0.0748587669
501,0.1275367781,-0.2023954180,-0.0748586399
502,0.1294240031,-0.2042825095,-0.0748585064
503,0.1313665445,-0.2062249105,-0.0748583661
504,0.1333664045,-0.2082246229,-0.0748582184
505,0.1354256898,-0.2102837528,-0.0748580630
506,0.1375466178,-0.2124045171,-0.0748578993
507,0.1397315238,-0.2145892505,-0.0748577267
508,0.1419828686,-0.2168404134,-0.0748575448
509,0.1443032466,-0.2191605995,-0.0748573529
510,0.1466953949,-0.2215525453,-0.0748571503
511,0.1491622027,-0.2240191391,-0.0748569363
512,0.1517067215,-0.2265634317,-0.0748567102
513,0.1543321766,-0.2291886476,-0.0748564710
514,0.1570419789,-0.2318981967,-0.0748562178
515,0.1598397381,-0.2346956878,-0.0748559496
516,0.1627292773,-0.2375849428,-0.0748556654
517,0.1657146479,-0.2405700119,-0.0748553640
518,0.1688001468,-0.2436551909,-0.0748550441
519,0.1719903348,-0.2468450390,-0.0748547042
520,0.1752900561,-0.2501443990,-0.0748543429
521,0.1787044607,-0.2535584192,-0.0748539585
522,0.1822390277,-0.2570925768,-0.0748535491
523,0.1858995915,-0.2607527043,-0.0748531128
524,0.1896923704,-0.2645450178,-0.0748526474
525,0.1936239975,-0.2684761478,-0.0748521504
526,0.1977015552,-0.2725531744,-0.0748516192
527,0.2019326128,-0.2767836637,-0.0748510509
528,0.2063252679,-0.2811757103,-0.0748504424
529,0.2108881921,-0.2857379821,-0.0748497900
530,0.2156306811,-0.2904797710,-0.0748490899
531,0.2205627106,-0.2954110483,-0.0748483378
532,0.2256949979,-0.3005425267,-0.0748475288
533,0.2310390697,-0.3058857275,-0.0748466577
534,0.2366073385,-0.3114530571,-0.0748457186
535,0.2424131859,-0.3172578908,-0.0748447049
536,0.2484710570,-0.3233146663,-0.0748436093
537,0.2547965644,-0.3296389880,-0.0748424236
538,0.2614066052,-0.3362477439,-0.0748411387
539,0.2683194915,-0.3431592358,-0.0748397443
540,0.2755550965,-0.3503933255,-0.0748382290
541,0.2831350192,-0.3579715989,-0.0748365798
542,0.2910827690,-0.3659175511,-0.0748347821
543,0.2994239744,-0.3742567939,-0.0748328195
544,0.3081866178,-0.3830172913,-0.0748306734
545,0.3174013022,-0.3922296250,-0.0748283228
546,0.3271015524,-0.4019272962,-0.0748257438
547,0.3373241585,-0.4121470675,-0.0748229090
548,0.3481095651,-0.4229293527,-0.0748197876
549,0.3595023171,-0.4343186612,-0.0748163441
550,0.3715515673,-0.4463641054,-0.0748125381
551,0.3843116592,-0.4591199823,-0.0748083231
552,0.3978427946,-0.4726464403,-0.0748036457
553,0.4122118014,-0.4870102461,-0.0747984447
554,0.4274930186,-0.5022856679,-0.0747926493
555,0.4437693160,-0.5185554939,-0.0747861779
556,0.4611332739,-0.5359122103,-0.0747789364
